<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.10.26	00:00:00	152.744	153.044	152.744	153.012	631	0	29
2025.10.27	00:00:00	153.01	153.247	152.554	152.754	78822	0	20
2025.10.28	00:00:00	152.758	152.805	151.748	152.009	98848	0	20
2025.10.29	00:00:00	151.994	153.05	151.527	152.63	107939	0	20
2025.10.30	00:00:00	152.629	154.433	152.148	154.045	114679	0	20
2025.10.31	00:00:00	154.034	154.401	153.642	153.99	81660	0	20
2025.11.03	00:00:00	153.948	154.286	153.903	154.197	60086	0	20
2025.11.04	00:00:00	154.198	154.472	153.305	153.65	78182	0	20
2025.11.05	00:00:00	153.649	154.345	152.948	154.102	84645	0	20
2025.11.06	00:00:00	154.105	154.131	152.82	153.052	71926	0	20
2025.11.07	00:00:00	153.049	153.585	152.809	153.428	99373	0	20
2025.11.10	00:00:00	153.631	154.239	153.387	154.131	83474	0	20
2025.11.11	00:00:00	154.131	154.486	153.655	154.133	76809	0	20
2025.11.12	00:00:00	154.131	155.035	154.03	154.77	84248	0	20
2025.11.13	00:00:00	154.767	155.007	154.117	154.533	100449	0	20
2025.11.14	00:00:00	154.531	154.753	153.606	154.524	117923	0	20
2025.11.17	00:00:00	154.5	155.294	154.405	155.217	76077	0	20
2025.11.18	00:00:00	155.216	155.723	154.805	155.478	127926	0	20
2025.11.19	00:00:00	155.481	157.172	155.203	157.124	118561	0	20
2025.11.20	00:00:00	157.123	157.882	156.867	157.447	142640	0	21
2025.11.21	00:00:00	157.448	157.531	156.188	156.392	149758	0	21
2025.11.24	00:00:00	156.269	157.176	156.269	156.866	82863	0	21
2025.11.25	00:00:00	156.824	156.971	155.791	156.027	102423	0	21
2025.11.26	00:00:00	155.901	156.726	155.641	156.442	112546	0	21
2025.11.27	00:00:00	156.442	156.454	155.71	156.254	59249	0	21
2025.11.28	00:00:00	156.252	156.57	155.97	156.158	239603	0	21
2025.12.01	00:00:00	156.043	156.139	154.654	155.418	112403	0	21
2025.12.02	00:00:00	155.417	156.169	155.393	155.789	88920	0	21
2025.12.03	00:00:00	155.788	155.892	155.001	155.199	88116	0	21
2025.12.04	00:00:00	155.211	155.53	154.497	155.064	106859	0	21
2025.12.05	00:00:00	155.064	155.482	154.332	155.341	98354	0	21
2025.12.08	00:00:00	155.146	155.973	154.888	155.905	93025	0	21
2025.12.09	00:00:00	155.901	156.943	155.732	156.84	94454	0	21
2025.12.10	00:00:00	156.842	156.924	155.783	155.992	88937	0	21
2025.12.11	00:00:00	155.851	156.152	154.936	155.551	108063	0	21
2025.12.12	00:00:00	155.551	156.116	155.435	155.799	82778	0	21
2025.12.15	00:00:00	155.743	155.975	154.826	155.182	81652	0	21
2025.12.16	00:00:00	155.186	155.286	154.381	154.687	116228	0	21
2025.12.17	00:00:00	154.687	155.738	154.497	155.652	97464	0	21
2025.12.18	00:00:00	155.645	155.963	155.271	155.527	95564	0	21
2025.12.19	00:00:00	155.521	157.767	155.418	157.714	113607	0	21
2025.12.22	00:00:00	157.664	157.691	156.695	157.031	91247	0	21
2025.12.23	00:00:00	157.031	157.046	155.641	156.194	104210	0	21
2025.12.24	00:00:00	156.147	156.269	155.544	155.958	90475	0	21
2025.12.26	00:00:00	156.19	156.72	156.074	156.551	57811	0	21
2025.12.29	00:00:00	156.442	156.53	155.905	156.022	92078	0	21
2025.12.30	00:00:00	156.023	156.554	155.732	156.372	77209	0	21
2025.12.31	00:00:00	156.372	156.983	156.258	156.814	62824	0	21
2026.01.02	00:00:00	156.901	156.989	156.55	156.854	54930	0	21
2026.01.05	00:00:00	156.688	157.285	156.104	156.333	101892	0	21
2026.01.06	00:00:00	156.333	156.785	156.152	156.606	91076	0	21
2026.01.07	00:00:00	156.582	156.797	156.284	156.732	81812	0	21
2026.01.08	00:00:00	156.731	157.06	156.448	156.839	73214	0	21
2026.01.09	00:00:00	156.839	158.174	156.644	157.922	98727	0	21
2026.01.12	00:00:00	158.072	158.194	157.505	158.091	78659	0	21
2026.01.13	00:00:00	158.093	159.179	157.882	159.093	97714	0	21
2026.01.14	00:00:00	159.094	159.442	158.091	158.38	105523	0	21
2026.01.15	00:00:00	158.365	158.867	158.181	158.567	90056	0	21
2026.01.16	00:00:00	158.558	158.695	157.81	158.085	84713	0	21
2026.01.19	00:00:00	157.883	158.154	157.413	158.056	80799	0	21
2026.01.20	00:00:00	158.059	158.59	157.456	158.123	128137	0	21
2026.01.21	00:00:00	158.118	158.521	157.735	158.249	106001	0	21
2026.01.22	00:00:00	158.241	158.882	158.168	158.356	91921	0	21
2026.01.23	00:00:00	158.356	159.212	155.603	155.719	127202	0	21
2026.01.26	00:00:00	154.633	155.333	153.293	154.129	162000	0	21
2026.01.27	00:00:00	154.129	154.866	152.08	152.111	145670	0	21
2026.01.28	00:00:00	152.111	154.035	152.087	153.389	156457	0	20
2026.01.29	00:00:00	153.388	153.526	152.67	153.062	157621	0	20
2026.01.30	00:00:00	153.058	154.783	152.854	154.755	196287	0	20
