combo_id,timeframes,tf_count,regime_detection_tf,htf_alignment_tfs,trades,win_rate,non_loss_rate,profit_factor,net_profit,max_drawdown,sharpe_ratio,annual_return,elapsed_sec
M15+H4+D1,"M15,H4,D1",3,H4,"H4,D1",2127,65.53,80.38,2.9,2756132.0,3.23,4.46,91.87,52.2
M15+H8+D1,"M15,H8,D1",3,H8,D1,2156,66.6,80.46,2.92,2865362.0,3.11,4.58,95.51,49.8
M30+H1+H4,"M30,H1,H4",3,H1,H4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.5
M30+H1+H8,"M30,H1,H8",3,H1,"H8,H1",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
M30+H1+D1,"M30,H1,D1",3,H1,D1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.9
M30+H4+H8,"M30,H4,H8",3,H4,H4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.1
M30+H4+D1,"M30,H4,D1",3,H4,"H4,D1",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.9
M30+H8+D1,"M30,H8,D1",3,H8,D1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.6
H1+H4+H8,"H1,H4,H8",3,H1,H4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0
H1+H4+D1,"H1,H4,D1",3,H1,"H4,D1",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.1
H1+H8+D1,"H1,H8,D1",3,H1,D1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0
H4+H8+D1,"H4,H8,D1",3,H4,"H4,D1",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.7
M1+M5+M15+M30,"M1,M5,M15,M30",4,M30,M30,4255,58.12,74.93,1.67,2369021.0,6.46,3.44,78.97,40.4
M1+M5+M15+H1,"M1,M5,M15,H1",4,H1,H1,5346,59.21,76.31,1.9,3717522.0,5.67,4.27,123.92,44.4
M1+M5+M15+H4,"M1,M5,M15,H4",4,H4,H4,5207,63.97,79.0,2.38,5197865.0,3.47,5.43,173.26,38.7
M1+M5+M15+H8,"M1,M5,M15,H8",4,H8,H8,4919,64.04,78.66,2.29,4798289.0,4.71,5.13,159.94,48.5
M1+M5+M15+D1,"M1,M5,M15,D1",4,D1,D1,4135,60.97,76.08,2.07,3541014.0,4.35,4.34,118.03,57.6
M1+M5+M30+H1,"M1,M5,M30,H1",4,H1,H1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.4
M1+M5+M30+H4,"M1,M5,M30,H4",4,H4,H4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.5
M1+M5+M30+H8,"M1,M5,M30,H8",4,H8,H8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.5
M1+M5+M30+D1,"M1,M5,M30,D1",4,D1,D1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.6
M1+M5+H1+H4,"M1,M5,H1,H4",4,H1,H4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.8
M1+M5+H1+H8,"M1,M5,H1,H8",4,H1,"H8,H1",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.4
